epoch,log_dir,log_name,seconds
0,logs/heat_attr_case500,heat_attr_case500,28.519619
1,logs/heat_attr_case500,heat_attr_case500,9.72709
2,logs/heat_attr_case500,heat_attr_case500,9.840329
3,logs/heat_attr_case500,heat_attr_case500,9.843042
4,logs/heat_attr_case500,heat_attr_case500,9.861196
5,logs/heat_attr_case500,heat_attr_case500,9.57379
6,logs/heat_attr_case500,heat_attr_case500,9.955108
7,logs/heat_attr_case500,heat_attr_case500,9.76769
8,logs/heat_attr_case500,heat_attr_case500,9.880435
9,logs/heat_attr_case500,heat_attr_case500,9.784221
10,logs/heat_attr_case500,heat_attr_case500,9.782431
11,logs/heat_attr_case500,heat_attr_case500,9.60766
12,logs/heat_attr_case500,heat_attr_case500,9.945549
13,logs/heat_attr_case500,heat_attr_case500,9.786829
14,logs/heat_attr_case500,heat_attr_case500,9.893677
15,logs/heat_attr_case500,heat_attr_case500,9.875826
16,logs/heat_attr_case500,heat_attr_case500,9.616028
17,logs/heat_attr_case500,heat_attr_case500,9.80882
18,logs/heat_attr_case500,heat_attr_case500,9.923669
19,logs/heat_attr_case500,heat_attr_case500,9.90143
20,logs/heat_attr_case500,heat_attr_case500,9.910141
21,logs/heat_attr_case500,heat_attr_case500,9.614213
22,logs/heat_attr_case500,heat_attr_case500,9.909741
23,logs/heat_attr_case500,heat_attr_case500,9.910759
24,logs/heat_attr_case500,heat_attr_case500,9.91658
25,logs/heat_attr_case500,heat_attr_case500,9.911907
26,logs/heat_attr_case500,heat_attr_case500,9.794996
27,logs/heat_attr_case500,heat_attr_case500,9.620281
28,logs/heat_attr_case500,heat_attr_case500,9.9736
29,logs/heat_attr_case500,heat_attr_case500,9.799817
30,logs/heat_attr_case500,heat_attr_case500,9.908458
31,logs/heat_attr_case500,heat_attr_case500,9.809523
32,logs/heat_attr_case500,heat_attr_case500,9.621593
33,logs/heat_attr_case500,heat_attr_case500,9.93781
34,logs/heat_attr_case500,heat_attr_case500,9.92547
35,logs/heat_attr_case500,heat_attr_case500,9.923008
36,logs/heat_attr_case500,heat_attr_case500,9.996511
37,logs/heat_attr_case500,heat_attr_case500,9.626685
38,logs/heat_attr_case500,heat_attr_case500,9.983572
39,logs/heat_attr_case500,heat_attr_case500,9.935948
40,logs/heat_attr_case500,heat_attr_case500,9.808422
41,logs/heat_attr_case500,heat_attr_case500,9.917538
42,logs/heat_attr_case500,heat_attr_case500,9.636458
43,logs/heat_attr_case500,heat_attr_case500,10.008332
44,logs/heat_attr_case500,heat_attr_case500,9.82859
45,logs/heat_attr_case500,heat_attr_case500,9.922036
46,logs/heat_attr_case500,heat_attr_case500,9.935941
47,logs/heat_attr_case500,heat_attr_case500,9.631985
48,logs/heat_attr_case500,heat_attr_case500,9.926182
49,logs/heat_attr_case500,heat_attr_case500,9.828027
0,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,14.011652
1,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.842259
2,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.956773
3,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.07792
4,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.861815
5,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.689393
6,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.156346
7,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.885718
8,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.88976
9,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.122816
10,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.894783
11,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.709517
12,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.900911
13,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.019101
14,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.014408
15,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.079875
16,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.722898
17,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.013068
18,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.020035
19,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.025827
20,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.092329
21,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.718422
22,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.025915
23,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.03278
24,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.028632
25,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.893744
26,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.106138
27,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.927933
28,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.034392
29,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.041906
30,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.916682
31,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.129827
32,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.938471
33,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.063744
34,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.054168
35,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.105566
36,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.925088
37,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,9.9377
38,logs/heat_attr_case500_AC_fixed,heat_attr_case500_AC_fixed,10.045901
