epoch,log_dir,log_name,test_loss,train_loss,val_loss
0,logs/heat_attr_case500,heat_attr_case500,1.79889286,2.0122602,1.72316682
1,logs/heat_attr_case500,heat_attr_case500,1.35670972,2.11932921,1.34119749
2,logs/heat_attr_case500,heat_attr_case500,1.19974983,2.15666246,1.17662632
3,logs/heat_attr_case500,heat_attr_case500,0.95302802,1.92915857,0.90320802
4,logs/heat_attr_case500,heat_attr_case500,0.61188632,1.186692,0.52579945
5,logs/heat_attr_case500,heat_attr_case500,0.01058888,0.46132946,0.01058202
6,logs/heat_attr_case500,heat_attr_case500,0.01025963,0.86204344,0.01032649
7,logs/heat_attr_case500,heat_attr_case500,0.01024135,0.01031505,0.01030531
8,logs/heat_attr_case500,heat_attr_case500,0.01022806,0.01026555,0.01029933
9,logs/heat_attr_case500,heat_attr_case500,0.01022602,0.01025874,0.01029382
10,logs/heat_attr_case500,heat_attr_case500,0.01022388,0.01025494,0.01029055
11,logs/heat_attr_case500,heat_attr_case500,0.01022651,0.01025353,0.01028874
12,logs/heat_attr_case500,heat_attr_case500,0.01022467,0.01025405,0.01029703
13,logs/heat_attr_case500,heat_attr_case500,0.01022353,0.01025529,0.01029288
14,logs/heat_attr_case500,heat_attr_case500,0.01022724,0.01025669,0.01029579
15,logs/heat_attr_case500,heat_attr_case500,0.01022932,0.01025839,0.01029656
16,logs/heat_attr_case500,heat_attr_case500,0.01022986,0.0102599,0.01029758
17,logs/heat_attr_case500,heat_attr_case500,0.01023106,0.01026092,0.01030125
18,logs/heat_attr_case500,heat_attr_case500,0.0102285,0.01026134,0.01029634
19,logs/heat_attr_case500,heat_attr_case500,0.0102281,0.01026144,0.0102984
20,logs/heat_attr_case500,heat_attr_case500,0.01023025,0.01026085,0.01029972
21,logs/heat_attr_case500,heat_attr_case500,0.01022821,0.01026052,0.0103
22,logs/heat_attr_case500,heat_attr_case500,0.01022704,0.01025948,0.01029574
23,logs/heat_attr_case500,heat_attr_case500,0.0102305,0.01025862,0.01029664
24,logs/heat_attr_case500,heat_attr_case500,0.01022414,0.01025772,0.01029615
25,logs/heat_attr_case500,heat_attr_case500,0.01022707,0.01025693,0.01029399
26,logs/heat_attr_case500,heat_attr_case500,0.01022356,0.01025646,0.01029573
27,logs/heat_attr_case500,heat_attr_case500,0.0102285,0.01025545,0.01029724
28,logs/heat_attr_case500,heat_attr_case500,0.01022488,0.01025423,0.01029443
29,logs/heat_attr_case500,heat_attr_case500,0.01022246,0.01025311,0.01028962
30,logs/heat_attr_case500,heat_attr_case500,0.01022128,0.01025225,0.01029077
31,logs/heat_attr_case500,heat_attr_case500,0.01021968,0.01025165,0.01028939
32,logs/heat_attr_case500,heat_attr_case500,0.01022162,0.01025081,0.01028906
33,logs/heat_attr_case500,heat_attr_case500,0.01022048,0.01025,0.01029054
