epoch,log_dir,log_name,seconds
0,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,19.532362
1,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.683119
2,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.621945
3,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.567225
4,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.685039
5,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.341019
6,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.715058
7,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.564496
8,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.559324
9,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.539651
10,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.566575
11,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.72019
12,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.642333
13,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.614942
14,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.521227
15,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.496873
16,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.701349
17,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.66845
18,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.592041
19,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.307589
20,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.703236
21,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.689089
22,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.624725
23,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.609465
24,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.306755
25,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.747175
26,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.708932
27,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.656114
28,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.443011
29,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.548887
30,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.72088
31,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.67662
32,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.635402
33,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.430351
34,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.545547
35,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.731236
36,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.690287
37,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.425892
38,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.700462
39,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.523053
40,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.657336
41,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.636052
42,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.456765
43,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.547682
44,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.751126
45,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.697399
46,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.475191
47,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.658912
48,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.530845
49,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,9.702996
0,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,23.677805
1,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.401805
2,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.164519
3,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.392163
4,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.030282
5,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.33093
6,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.148126
7,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.25096
8,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.184967
9,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.214467
10,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.421081
11,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,8.87785
12,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.528578
13,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.208643
14,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,9.241773
