epoch,log_dir,log_name,test_loss,train_loss,val_loss
0,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.08795159,0.39147112,0.08801482
1,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00797468,0.01263221,0.0080467
2,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00719759,0.00722247,0.0072614
3,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00739112,0.00566812,0.00746007
4,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00456801,0.00480284,0.00461817
5,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00650056,0.0040282,0.00654773
6,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00525467,0.00340859,0.00529691
7,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00551266,0.00295245,0.00555789
8,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00562321,0.0026428,0.00567268
9,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00274462,0.00224769,0.00277484
10,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00491898,0.00192918,0.00495873
11,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00250163,0.00168189,0.0025311
12,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00234545,0.00160204,0.00237775
13,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00190573,0.00139645,0.00193705
14,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00152738,0.0013118,0.00155341
15,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00136245,0.00119754,0.00138677
16,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00160382,0.0011628,0.00162663
17,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00327039,0.00117752,0.00329558
18,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00216008,0.00109151,0.0021827
19,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00288921,0.00108658,0.00292022
20,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00134634,0.00104413,0.00136786
21,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00196825,0.00105798,0.00199801
22,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00140249,0.00099054,0.00142612
23,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00306289,0.00131247,0.0030921
24,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00130681,0.0009795,0.00132597
25,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00130253,0.0009381,0.00132669
26,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00103492,0.0009253,0.00105782
27,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00091311,0.00091411,0.00093613
28,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00122827,0.00090823,0.00125008
29,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00092356,0.00092133,0.00094675
30,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00097519,0.00089446,0.00099908
31,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00097262,0.00088598,0.00099427
